=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.03.14 21:35:07 =~=~=~=~=~=~=~=~=~=~=~=
.00,14.96,0
45,15.00,14.88,0
45,15.00,14.88,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,14.73,0
45,15.00,15.11,0
45,15.00,15.11,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.11,0
45,15.00,15.11,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,15.11,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.11,0
45,15.00,15.04,0
45,15.00,14.88,0
45,15.00,15.04,0
45,15.00,15.11,0
45,15.00,14.88,0
45,15.00,14.96,0
45,15.00,15.11,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.11,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,14.88,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,14.88,0
45,15.00,15.11,0
45,15.00,15.04,0
45,15.00,15.19,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.11,0
45,15.00,15.11,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.11,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,14.88,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.11,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.11,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,14.96,0
45,15.00,14.96,0
45,15.00,15.04,0
45,15.00,15.04,0
45,15.00,15.11,0
45,15.00,14.96,0
